prime_mover,rowid,CHP_fixed_adj,CHP_variable_adj,age_fixed_adj,age_obs_fixed_adj,age_obs_variable_adj,age_variable_adj,capacity_adj,duct_burners_fixed_adj,fluidized_bed_variable_adj,gas_age_fixed_adj,gas_age_variable_adj,gas_fixed_adj,gas_pollution_fixed_adj,gas_starts_adj,gen_adj,oil_age_fixed_adj,oil_fixed_adj,oil_starts_adj,oil_variable_adj,pollution_fixed_adj,pollution_variable_adj,pulverized_coal_fixed_adj,starts_adj,supercritical_fixed_adj,supercritical_variable_adj,real_opex
ST,3767,0,0,-1690.578488900228,3956.08881205758,27777522.137797866,-11870330.42786691,332.02238938511744,0,0,-0,-0,0,0,0,2331282.1601173417,-4.9934955151263605,0.9807011760777046,21.575425873709502,6885.954770791519,0,0,332.02238938511744,7304.492566472583,0,0,27624620.385093376
ST,3768,0,0,-1304.2759298894591,3478.905586171812,21434036.99661068,-8035831.339074117,318.7033522320678,0,0,-0,-0,0,0,0,1963577.128922009,-6.309982089832586,1.5418611955250852,38.54652988812713,9499.62828536816,0,0,318.7033522320678,7967.583805801695,0,0,25312195.862361055
ST,3769,0,0,-995.629006592712,3191.9616808499454,20077456.273151472,-6262511.847831338,321.88404305092286,0,0,-0,-0,0,0,0,2024652.3754192644,-7.110306544192938,2.2987420039204505,62.06603410585216,14459.09966396589,0,0,321.88404305092286,8690.869162374916,0,0,28476822.803790238
ST,3770,0,0,-667.799095803269,2846.886625259681,19332620.72150565,-4534886.118322815,319.3566768661236,0,0,-0,-0,0,0,0,2168685.4172389247,-4.038926278148251,1.9315061706472774,46.35614809553466,13116.460587876585,0,0,319.3566768661236,7664.560244786967,0,0,21906114.193242643
ST,3771,0,0,-348.57785945258377,2527.145729239933,13177667.856770087,-1817640.8273343074,319.2805180231358,0,0,-0,-0,0,0,0,1664871.3886839412,-4.079880913546436,3.7369742690929684,134.53107368734686,19486.254843805207,0,0,319.2805180231358,11494.098648832889,0,0,22500724.54945676
ST,3772,0,0,-29.418159214993988,2200.773473528956,11066091.404634828,-147922.55665786975,318.22348028758955,0,0,-0,-0,0,0,0,1600114.760705808,-0.22337925329095448,2.416348449499853,79.73949883349515,12150.061389433227,0,0,318.22348028758955,10501.374849490456,0,0,16554175.312689945
ST,3775,0,0,860.143720352487,1157.9416298664535,5107944.125809513,3794289.7555493712,295.76096525085467,0,0,0,0,0,0,0,1304668.9454209264,4.590741189107122,1.5785292773523567,33.14911482439949,6963.251982399341,0,0,295.76096525085467,6210.980270267948,0,0,31170900.242671758
ST,3776,0,0,1157.4616261336978,863.6959468198827,5245305.066777504,7029371.105090674,296.21121556428375,0,0,0,0,0,0,0,1798918.005296229,6.955176059305403,1.7799304171078285,49.8380516790192,10809.681427524518,0,0,296.21121556428375,8293.914035799946,0,0,28129032.730097886
ST,3777,0,0,1471.8347729973498,574.8602401423806,3535242.4776268234,9051404.926282115,299.9538610171493,0,0,0,0,0,0,0,1844639.0213617103,9.691100127208399,1.9750062670011264,53.32516920903041,12145.780071608784,0,0,299.9538610171493,8098.754247463031,0,0,22021122.188881446
ST,3778,0,0,-1363.9542266035605,4733.166652858505,32417856.042734783,-9341837.084948232,340.1119653662343,0,0,-0,-0,0,0,0,2329455.4238852803,-4.78272430538119,1.1926072969169008,31.007789719839423,8168.267568524788,0,0,340.1119653662343,8842.911099522093,0,0,28078250.634668864
